# ----------------------------------------
# Google Analytics
# Property Name: ofka.tr
# Property ID: 520487500
# ----------------------------------------
# 
# Daily Trend of Active users
# Jan 1–Jun 18 2026
Nth day,Active users
18,7
19,5
20,5
21,5
22,16
23,7
24,2
25,3
26,36
27,14
28,11
29,2
30,1
32,2
33,1
34,2
35,1
36,2
37,3
38,4
39,1
40,4
41,6
42,1
43,1
44,3
45,1
46,4
47,3
48,1
49,1
50,1
51,3
52,1
53,1
54,3
56,2
57,1
58,1
59,2
60,1
62,4
64,4
67,2
69,1
70,2
72,1
74,1
76,1
77,1
78,1
83,1
86,3
87,15
88,1
90,7
91,2
94,1
95,2
96,1
97,1
98,1
99,1
100,4
104,6
105,1
107,1
108,2
109,2
111,1
112,1
113,2
114,3
115,1
117,2
118,5
119,1
120,2
121,3
125,4
126,1
127,1
128,3
129,1
130,2
131,2
132,1
134,7
135,6
136,3
137,4
138,3
139,2
140,1
141,1
146,1
147,2
148,1
149,5
150,3
151,1
153,1
154,2
156,1
157,1
158,4
159,3
161,1
162,1
164,3
166,3
167,2
168,1
